 N= 10 ;
 M= 20 ;
 T= 10 ;
NC= [ 3 2 1 1 2 2 2 3 3 4 1 1 2 1 2 1 2 4 4 5 ] ;
NF= [ 7 7 6 15 14 8 13 7 14 9 ] ;

PrTime= [ 
[ [ [ 281 572 726  ] [ 543 696  ] [ 217  ] [ 396  ] [ 703 507  ] [ 309 107  ] [ 515 424  ] [ 717 732 561  ] [ 404 322 101  ] [ 318 644 745 754  ] [ 294  ] [ 792  ] [ 278 271  ] [ 240  ] [ 319 232  ] [ 190  ] [ 289 548  ] [ 173 470 727 220  ] [ 432 161 227 463  ] [ 312 279 244 174 492  ]  ] 
[ [ 149 680 563  ] [ 279 690  ] [ 792  ] [ 170  ] [ 627 534  ] [ 557 168  ] [ 215 443  ] [ 475 511 170  ] [ 478 110 442  ] [ 346 584 201 308  ] [ 684  ] [ 523  ] [ 417 322  ] [ 281  ] [ 284 289  ] [ 660  ] [ 456 540  ] [ 448 550 580 105  ] [ 128 272 169 299  ] [ 103 779 463 381 509  ]  ] 
[ [ 495 124 359  ] [ 486 197  ] [ 700  ] [ 516  ] [ 367 512  ] [ 792 115  ] [ 446 185  ] [ 662 107 356  ] [ 769 285 788  ] [ 572 788 219 273  ] [ 122  ] [ 149  ] [ 227 182  ] [ 339  ] [ 618 701  ] [ 197  ] [ 397 210  ] [ 727 683 165 547  ] [ 415 233 466 763  ] [ 357 613 185 368 732  ]  ] 
[ [ 324 521 394  ] [ 258 386  ] [ 722  ] [ 661  ] [ 541 543  ] [ 155 650  ] [ 130 674  ] [ 370 224 683  ] [ 594 644 269  ] [ 314 551 711 732  ] [ 198  ] [ 440  ] [ 457 314  ] [ 323  ] [ 268 448  ] [ 735  ] [ 682 394  ] [ 333 643 795 538  ] [ 215 367 137 291  ] [ 595 278 206 320 235  ]  ] 
[ [ 395 617 421  ] [ 105 451  ] [ 446  ] [ 794  ] [ 107 369  ] [ 414 668  ] [ 746 732  ] [ 197 141 248  ] [ 129 185 370  ] [ 752 559 418 311  ] [ 366  ] [ 368  ] [ 345 624  ] [ 366  ] [ 490 239  ] [ 200  ] [ 631 596  ] [ 661 314 689 157  ] [ 143 710 153 294  ] [ 102 666 450 290 364  ]  ] 
[ [ 415 624 530  ] [ 769 391  ] [ 378  ] [ 151  ] [ 713 406  ] [ 648 556  ] [ 462 615  ] [ 335 650 672  ] [ 113 230 710  ] [ 421 628 680 175  ] [ 292  ] [ 764  ] [ 391 554  ] [ 387  ] [ 606 740  ] [ 475  ] [ 443 103  ] [ 266 416 501 522  ] [ 266 502 172 447  ] [ 269 636 223 447 443  ]  ] 
[ [ 422 382 372  ] [ 375 615  ] [ 325  ] [ 656  ] [ 274 652  ] [ 762 351  ] [ 671 570  ] [ 377 111 285  ] [ 397 431 285  ] [ 510 236 338 383  ] [ 628  ] [ 517  ] [ 728 361  ] [ 644  ] [ 120 593  ] [ 405  ] [ 273 521  ] [ 116 769 227 760  ] [ 350 286 578 293  ] [ 168 476 757 762 587  ]  ] 
] 
[ [ [ 186 469 537  ] [ 172 692  ] [ 654  ] [ 757  ] [ 739 249  ] [ 522 396  ] [ 417 397  ] [ 510 768 512  ] [ 749 610 527  ] [ 435 587 682 212  ] [ 764  ] [ 633  ] [ 308 310  ] [ 215  ] [ 439 267  ] [ 137  ] [ 226 311  ] [ 511 770 633 713  ] [ 763 757 485 517  ] [ 738 126 691 538 175  ]  ] 
[ [ 175 163 382  ] [ 373 353  ] [ 174  ] [ 751  ] [ 535 164  ] [ 686 634  ] [ 374 682  ] [ 151 679 106  ] [ 676 786 505  ] [ 360 594 747 312  ] [ 116  ] [ 497  ] [ 368 567  ] [ 344  ] [ 268 405  ] [ 293  ] [ 694 133  ] [ 599 701 716 747  ] [ 367 260 447 264  ] [ 341 308 249 594 575  ]  ] 
