 N= 10 ;
 M= 10 ;
 T= 10 ;
NC= [ 1 5 5 2 2 3 3 1 4 1 ] ;
NF= [ 6 2 3 5 6 2 3 5 6 12 ] ;

PrTime= [ 
[ [ [ 545  ] [ 578 201 469 512 185  ] [ 263 512 121 290 129  ] [ 168 585  ] [ 789 189  ] [ 290 367 304  ] [ 478 446 797  ] [ 430  ] [ 596 582 766 643  ] [ 648  ]  ] 
[ [ 564  ] [ 155 709 325 144 781  ] [ 709 236 242 104 766  ] [ 780 352  ] [ 395 141  ] [ 466 757 429  ] [ 771 274 275  ] [ 281  ] [ 673 332 650 342  ] [ 794  ]  ] 
[ [ 703  ] [ 394 347 747 668 240  ] [ 728 310 524 224 374  ] [ 507 581  ] [ 272 722  ] [ 782 537 495  ] [ 398 682 154  ] [ 563  ] [ 411 262 539 627  ] [ 513  ]  ] 
[ [ 752  ] [ 180 790 581 588 585  ] [ 169 649 665 716 264  ] [ 382 152  ] [ 250 465  ] [ 216 199 562  ] [ 466 481 595  ] [ 469  ] [ 707 479 269 526  ] [ 681  ]  ] 
[ [ 357  ] [ 648 254 396 741 372  ] [ 717 110 156 777 579  ] [ 733 556  ] [ 273 703  ] [ 196 160 137  ] [ 331 182 400  ] [ 777  ] [ 345 776 666 782  ] [ 587  ]  ] 
[ [ 515  ] [ 756 486 360 423 224  ] [ 436 229 545 775 659  ] [ 432 414  ] [ 381 499  ] [ 715 777 588  ] [ 100 401 100  ] [ 456  ] [ 244 687 430 384  ] [ 461  ]  ] 
] 
[ [ [ 352  ] [ 114 211 284 141 411  ] [ 639 326 546 709 533  ] [ 382 642  ] [ 286 630  ] [ 556 690 146  ] [ 395 676 186  ] [ 589  ] [ 717 652 302 380  ] [ 690  ]  ] 
[ [ 761  ] [ 694 251 574 327 394  ] [ 541 181 223 798 227  ] [ 567 451  ] [ 314 528  ] [ 651 494 107  ] [ 723 466 147  ] [ 552  ] [ 622 274 738 137  ] [ 557  ]  ] 
] 
[ [ [ 472  ] [ 143 262 312 700 388  ] [ 745 469 368 299 195  ] [ 291 369  ] [ 433 675  ] [ 351 600 407  ] [ 334 250 737  ] [ 180  ] [ 731 468 287 729  ] [ 276  ]  ] 
[ [ 431  ] [ 466 211 495 225 479  ] [ 556 346 149 747 650  ] [ 162 254  ] [ 120 745  ] [ 311 689 650  ] [ 549 606 331  ] [ 290  ] [ 613 605 117 165  ] [ 625  ]  ] 
[ [ 254  ] [ 794 654 780 424 583  ] [ 563 450 252 373 336  ] [ 395 488  ] [ 274 240  ] [ 421 451 151  ] [ 297 158 383  ] [ 560  ] [ 399 263 536 380  ] [ 389  ]  ] 
] 
[ [ [ 289  ] [ 187 675 482 567 444  ] [ 287 265 130 383 148  ] [ 578 423  ] [ 308 690  ] [ 286 160 566  ] [ 490 305 267  ] [ 335  ] [ 117 167 600 557  ] [ 659  ]  ] 
[ [ 442  ] [ 435 782 480 393 379  ] [ 224 338 409 248 590  ] [ 629 434  ] [ 141 193  ] [ 229 337 110  ] [ 539 343 565  ] [ 739  ] [ 135 139 740 542  ] [ 482  ]  ] 
[ [ 122  ] [ 294 289 242 658 626  ] [ 285 778 477 387 151  ] [ 433 157  ] [ 124 763  ] [ 186 410 552  ] [ 255 246 254  ] [ 170  ] [ 559 709 415 449  ] [ 408  ]  ] 
[ [ 127  ] [ 472 252 604 264 524  ] [ 446 608 795 153 447  ] [ 317 574  ] [ 566 306  ] [ 198 160 696  ] [ 540 535 298  ] [ 652  ] [ 386 411 446 751  ] [ 740  ]  ] 
[ [ 515  ] [ 110 600 474 332 110  ] [ 645 149 336 457 674  ] [ 556 197  ] [ 239 380  ] [ 262 440 717  ] [ 395 305 206  ] [ 307  ] [ 583 422 502 720  ] [ 130  ]  ] 
] 
[ [ [ 526  ] [ 741 717 260 458 444  ] [ 103 369 708 449 516  ] [ 507 247  ] [ 346 685  ] [ 276 314 764  ] [ 290 187 677  ] [ 316  ] [ 751 484 194 789  ] [ 292  ]  ] 
[ [ 307  ] [ 269 296 322 784 248  ] [ 689 604 469 330 400  ] [ 482 338  ] [ 703 457  ] [ 221 620 779  ] [ 254 128 478  ] [ 606  ] [ 641 300 139 434  ] [ 211  ]  ] 
[ [ 488  ] [ 609 788 174 357 598  ] [ 365 519 767 262 682  ] [ 727 798  ] [ 707 159  ] [ 410 697 107  ] [ 492 459 493  ] [ 685  ] [ 687 365 307 436  ] [ 319  ]  ] 
[ [ 520  ] [ 249 450 283 716 133  ] [ 782 163 368 217 798  ] [ 750 744  ] [ 599 449  ] [ 417 336 562  ] [ 260 154 574  ] [ 431  ] [ 613 553 623 457  ] [ 523  ]  ] 
[ [ 404  ] [ 789 661 247 713 586  ] [ 365 270 490 263 472  ] [ 471 535  ] [ 461 772  ] [ 113 776 768  ] [ 535 447 630  ] [ 250  ] [ 434 342 557 620  ] [ 652  ]  ] 
[ [ 278  ] [ 240 265 415 637 223  ] [ 580 405 629 604 117  ] [ 601 346  ] [ 374 436  ] [ 431 357 237  ] [ 425 798 261  ] [ 159  ] [ 233 361 774 423  ] [ 427  ]  ] 
] 
[ [ [ 177  ] [ 276 194 684 620 548  ] [ 528 777 285 659 743  ] [ 396 337  ] [ 732 504  ] [ 207 419 526  ] [ 359 455 136  ] [ 167  ] [ 215 486 528 349  ] [ 223  ]  ] 
[ [ 605  ] [ 714 160 122 206 555  ] [ 694 559 242 259 318  ] [ 509 679  ] [ 438 385  ] [ 224 195 260  ] [ 599 133 243  ] [ 297  ] [ 554 225 465 345  ] [ 264  ]  ] 
] 
[ [ [ 103  ] [ 597 304 201 557 727  ] [ 207 187 642 247 208  ] [ 744 394  ] [ 155 194  ] [ 235 463 236  ] [ 178 515 254  ] [ 480  ] [ 378 634 780 337  ] [ 734  ]  ] 
[ [ 234  ] [ 229 536 381 506 623  ] [ 399 464 797 695 211  ] [ 567 702  ] [ 711 182  ] [ 209 510 762  ] [ 485 239 557  ] [ 738  ] [ 570 793 541 133  ] [ 371  ]  ] 
[ [ 140  ] [ 705 147 533 238 270  ] [ 341 382 192 108 193  ] [ 102 342  ] [ 642 599  ] [ 429 553 725  ] [ 457 111 404  ] [ 305  ] [ 279 310 216 532  ] [ 487  ]  ] 
] 
[ [ [ 111  ] [ 364 475 609 364 100  ] [ 688 728 723 653 742  ] [ 443 197  ] [ 618 231  ] [ 204 776 788  ] [ 266 708 217  ] [ 263  ] [ 304 164 186 155  ] [ 759  ]  ] 
[ [ 573  ] [ 269 220 622 120 386  ] [ 389 762 743 748 448  ] [ 531 282  ] [ 175 623  ] [ 471 277 635  ] [ 656 209 392  ] [ 708  ] [ 201 623 302 656  ] [ 173  ]  ] 
[ [ 584  ] [ 224 235 293 734 400  ] [ 746 507 264 427 687  ] [ 613 521  ] [ 713 421  ] [ 690 630 436  ] [ 570 540 376  ] [ 329  ] [ 771 416 367 605  ] [ 574  ]  ] 
[ [ 257  ] [ 327 769 788 221 287  ] [ 426 519 797 588 116  ] [ 297 289  ] [ 379 355  ] [ 290 189 547  ] [ 557 685 204  ] [ 326  ] [ 532 703 285 604  ] [ 698  ]  ] 
[ [ 465  ] [ 416 486 296 762 289  ] [ 308 753 623 424 763  ] [ 132 577  ] [ 521 775  ] [ 618 510 190  ] [ 685 740 347  ] [ 672  ] [ 722 705 695 401  ] [ 394  ]  ] 
] 
[ [ [ 210  ] [ 753 656 133 104 294  ] [ 594 377 303 224 619  ] [ 181 594  ] [ 640 643  ] [ 198 388 456  ] [ 237 622 249  ] [ 645  ] [ 722 648 522 430  ] [ 658  ]  ] 
[ [ 589  ] [ 495 170 393 765 664  ] [ 110 279 302 439 788  ] [ 592 527  ] [ 232 421  ] [ 124 630 537  ] [ 759 356 326  ] [ 277  ] [ 794 395 105 604  ] [ 530  ]  ] 
[ [ 769  ] [ 519 457 500 407 796  ] [ 730 376 788 205 675  ] [ 709 609  ] [ 595 492  ] [ 740 245 106  ] [ 157 199 345  ] [ 195  ] [ 616 320 213 226  ] [ 199  ]  ] 
[ [ 314  ] [ 692 413 473 726 280  ] [ 198 141 719 451 435  ] [ 319 208  ] [ 190 497  ] [ 680 186 721  ] [ 365 329 567  ] [ 333  ] [ 329 272 668 321  ] [ 741  ]  ] 
[ [ 681  ] [ 535 633 550 162 184  ] [ 461 680 711 140 377  ] [ 261 458  ] [ 153 542  ] [ 415 556 143  ] [ 656 597 213  ] [ 497  ] [ 786 622 640 292  ] [ 292  ]  ] 
[ [ 288  ] [ 780 242 627 362 355  ] [ 588 328 447 578 589  ] [ 104 791  ] [ 358 619  ] [ 286 592 285  ] [ 309 496 326  ] [ 438  ] [ 347 768 746 628  ] [ 387  ]  ] 
] 
[ [ [ 181  ] [ 484 647 187 255 700  ] [ 249 599 785 424 138  ] [ 103 430  ] [ 123 176  ] [ 259 411 383  ] [ 586 749 562  ] [ 787  ] [ 292 199 650 342  ] [ 778  ]  ] 
[ [ 565  ] [ 532 498 604 338 195  ] [ 101 724 172 420 599  ] [ 147 246  ] [ 266 549  ] [ 382 585 287  ] [ 375 278 276  ] [ 169  ] [ 471 344 153 733  ] [ 355  ]  ] 
[ [ 245  ] [ 719 343 654 778 346  ] [ 367 663 129 264 364  ] [ 227 138  ] [ 287 129  ] [ 467 715 399  ] [ 543 531 335  ] [ 504  ] [ 419 296 542 570  ] [ 454  ]  ] 
[ [ 582  ] [ 682 580 171 351 627  ] [ 729 338 798 188 401  ] [ 173 647  ] [ 499 483  ] [ 453 109 777  ] [ 168 260 550  ] [ 767  ] [ 579 206 601 177  ] [ 166  ]  ] 
[ [ 187  ] [ 317 206 699 770 250  ] [ 114 176 404 154 350  ] [ 109 289  ] [ 266 395  ] [ 261 350 228  ] [ 523 189 461  ] [ 295  ] [ 377 235 375 718  ] [ 157  ]  ] 
[ [ 360  ] [ 288 251 597 462 365  ] [ 693 300 378 613 479  ] [ 627 190  ] [ 101 430  ] [ 770 116 287  ] [ 554 447 660  ] [ 390  ] [ 381 339 145 427  ] [ 149  ]  ] 
[ [ 186  ] [ 605 489 350 687 252  ] [ 522 589 701 324 251  ] [ 122 279  ] [ 331 283  ] [ 411 104 631  ] [ 772 374 519  ] [ 212  ] [ 536 158 384 317  ] [ 277  ]  ] 
[ [ 654  ] [ 501 283 121 427 189  ] [ 100 694 366 463 265  ] [ 171 192  ] [ 259 396  ] [ 708 751 703  ] [ 742 121 611  ] [ 275  ] [ 741 375 142 238  ] [ 695  ]  ] 
[ [ 545  ] [ 138 530 741 647 743  ] [ 663 623 470 718 420  ] [ 630 758  ] [ 150 268  ] [ 413 118 518  ] [ 150 714 132  ] [ 481  ] [ 744 383 602 720  ] [ 364  ]  ] 
[ [ 338  ] [ 337 394 585 756 364  ] [ 287 550 138 461 284  ] [ 751 742  ] [ 710 448  ] [ 653 734 614  ] [ 691 638 663  ] [ 581  ] [ 349 726 407 647  ] [ 730  ]  ] 
[ [ 543  ] [ 591 493 404 245 393  ] [ 389 783 658 482 407  ] [ 231 610  ] [ 545 646  ] [ 690 120 126  ] [ 562 147 387  ] [ 584  ] [ 640 695 433 659  ] [ 411  ]  ] 
[ [ 423  ] [ 483 289 737 731 738  ] [ 116 680 137 231 518  ] [ 165 363  ] [ 308 492  ] [ 172 764 668  ] [ 415 141 691  ] [ 290  ] [ 613 588 122 770  ] [ 448  ]  ] 
] 
 ] ; 
TCTime= [ 
 [ 0.0 44.0 32.0 47.0 21.0 46.0 47.0 40.0 32.0 40.0  ] 
 [ 43.0 0.0 26.0 23.0 21.0 38.0 23.0 18.0 20.0 36.0  ] 
 [ 36.0 47.0 0.0 30.0 34.0 21.0 44.0 37.0 38.0 19.0  ] 
 [ 19.0 28.0 43.0 0.0 16.0 33.0 47.0 45.0 32.0 34.0  ] 
 [ 40.0 24.0 38.0 48.0 0.0 24.0 39.0 18.0 45.0 24.0  ] 
 [ 18.0 43.0 45.0 41.0 34.0 0.0 48.0 25.0 46.0 33.0  ] 
 [ 22.0 40.0 29.0 24.0 47.0 29.0 0.0 46.0 49.0 49.0  ] 
 [ 15.0 35.0 36.0 39.0 39.0 49.0 46.0 0.0 45.0 46.0  ] 
 [ 25.0 38.0 33.0 36.0 47.0 37.0 49.0 47.0 0.0 45.0  ] 
 [ 47.0 25.0 23.0 17.0 17.0 29.0 31.0 15.0 23.0 0.0  ] 
 ] ; 
CCTime= [ 
[ [ 0 ] ] 
[ [ 0 14 30 48 27 ] [ 42 0 32 21 29 ] [ 10 39 0 42 21 ] [ 12 15 45 0 21 ] [ 16 19 38 47 0 ] ] 
[ [ 0 13 17 24 13 ] [ 43 0 16 11 17 ] [ 21 14 0 18 22 ] [ 35 13 36 0 45 ] [ 27 27 25 29 0 ] ] 
[ [ 0 42 ] [ 45 0 ] ] 
[ [ 0 41 ] [ 27 0 ] ] 
[ [ 0 41 46 ] [ 11 0 49 ] [ 26 49 0 ] ] 
[ [ 0 30 19 ] [ 37 0 34 ] [ 36 10 0 ] ] 
[ [ 0 ] ] 
[ [ 0 14 40 13 ] [ 39 0 40 24 ] [ 29 21 0 23 ] [ 19 43 21 0 ] ] 
[ [ 0 ] ] 
 ] ; 
MCTime= [ 
[ 0.0 0.14 0.5 0.14 0.52 0.44 0.19 0.62 0.63 0.38 ] 
[ 0.28 0.0 0.21 0.48 0.13 0.52 0.55 0.11 0.12 0.61 ] 
[ 0.59 0.42 0.0 0.44 0.35 0.16 0.08 0.46 0.09 0.25 ] 
[ 0.51 0.28 0.31 0.0 0.22 0.42 0.6 0.18 0.49 0.2 ] 
[ 0.34 0.23 0.35 0.36 0.0 0.05 0.32 0.44 0.56 0.14 ] 
[ 0.46 0.59 0.54 0.33 0.14 0.0 0.46 0.07 0.55 0.47 ] 
[ 0.26 0.11 0.39 0.28 0.31 0.36 0.0 0.47 0.63 0.14 ] 
[ 0.48 0.17 0.07 0.32 0.54 0.47 0.06 0.0 0.6 0.52 ] 
[ 0.14 0.16 0.21 0.17 0.18 0.48 0.31 0.54 0.0 0.57 ] 
[ 0.48 0.59 0.36 0.17 0.21 0.62 0.41 0.52 0.08 0.0 ] 
 ] ; 

PrCost= [ 
[ [ 0.67 0.58 0.48 0.11 0.67 0.28 0.76 0.35 0.27 0.27  ] 
[ 0.61 0.61 0.33 0.37 0.47 0.33 0.42 0.31 0.23 0.38  ] 
[ 0.19 0.1 0.66 0.26 0.28 0.71 0.79 0.26 0.12 0.5  ] 
[ 0.33 0.31 0.62 0.67 0.34 0.59 0.46 0.58 0.31 0.45  ] 
[ 0.33 0.56 0.18 0.68 0.6 0.39 0.79 0.6 0.71 0.22  ] 
[ 0.53 0.42 0.1 0.54 0.5 0.75 0.12 0.77 0.54 0.4  ] 
] 
[ [ 0.63 0.39 0.3 0.73 0.37 0.62 0.37 0.23 0.57 0.39  ] 
[ 0.6 0.47 0.15 0.35 0.35 0.48 0.21 0.22 0.14 0.73  ] 
[ 0.19 0.24 0.36 0.12 0.59 0.33 0.78 0.13 0.53 0.16  ] 
[ 0.57 0.71 0.38 0.48 0.38 0.62 0.15 0.38 0.38 0.25  ] 
[ 0.6 0.22 0.17 0.5 0.54 0.48 0.58 0.2 0.69 0.33  ] 
[ 0.45 0.11 0.39 0.42 0.1 0.62 0.33 0.24 0.59 0.71  ] 
] 
[ [ 0.16 0.39 0.61 0.53 0.76 0.27 0.32 0.45 0.15 0.32  ] 
[ 0.63 0.63 0.2 0.13 0.35 0.56 0.63 0.39 0.32 0.39  ] 
[ 0.79 0.41 0.22 0.45 0.55 0.79 0.35 0.14 0.59 0.6  ] 
[ 0.6 0.51 0.59 0.73 0.26 0.43 0.58 0.66 0.59 0.55  ] 
[ 0.57 0.23 0.74 0.68 0.64 0.38 0.59 0.31 0.59 0.31  ] 
[ 0.74 0.52 0.69 0.49 0.4 0.52 0.13 0.74 0.6 0.65  ] 
] 
[ [ 0.21 0.73 0.29 0.78 0.69 0.1 0.74 0.58 0.71 0.48  ] 
[ 0.38 0.19 0.76 0.11 0.56 0.11 0.69 0.23 0.44 0.76  ] 
[ 0.57 0.12 0.41 0.49 0.34 0.59 0.74 0.36 0.74 0.56  ] 
[ 0.27 0.63 0.14 0.12 0.55 0.13 0.79 0.73 0.6 0.22  ] 
[ 0.12 0.74 0.39 0.1 0.79 0.39 0.19 0.56 0.6 0.44  ] 
[ 0.78 0.55 0.45 0.42 0.14 0.61 0.41 0.58 0.67 0.26  ] 
] 
[ [ 0.1 0.78 0.26 0.32 0.39 0.3 0.31 0.44 0.31 0.48  ] 
[ 0.36 0.24 0.23 0.6 0.37 0.36 0.37 0.24 0.1 0.5  ] 
[ 0.49 0.45 0.46 0.3 0.2 0.2 0.71 0.33 0.42 0.31  ] 
[ 0.75 0.77 0.79 0.16 0.56 0.61 0.15 0.22 0.35 0.33  ] 
[ 0.2 0.65 0.14 0.64 0.2 0.11 0.75 0.34 0.16 0.4  ] 
[ 0.35 0.26 0.51 0.33 0.45 0.73 0.33 0.42 0.37 0.57  ] 
] 
[ [ 0.42 0.52 0.65 0.75 0.7 0.76 0.35 0.54 0.78 0.28  ] 
[ 0.78 0.52 0.59 0.28 0.77 0.42 0.74 0.16 0.67 0.69  ] 
[ 0.47 0.12 0.32 0.71 0.73 0.35 0.14 0.72 0.18 0.7  ] 
[ 0.63 0.13 0.42 0.45 0.24 0.13 0.76 0.42 0.13 0.11  ] 
[ 0.69 0.19 0.51 0.25 0.21 0.65 0.46 0.36 0.29 0.7  ] 
[ 0.46 0.17 0.11 0.78 0.68 0.29 0.28 0.15 0.16 0.19  ] 
] 
[ [ 0.74 0.56 0.75 0.65 0.77 0.66 0.3 0.5 0.53 0.39  ] 
[ 0.5 0.34 0.43 0.2 0.37 0.46 0.75 0.54 0.22 0.68  ] 
[ 0.57 0.74 0.25 0.79 0.62 0.6 0.74 0.59 0.6 0.2  ] 
[ 0.63 0.21 0.12 0.64 0.18 0.37 0.53 0.66 0.59 0.2  ] 
[ 0.16 0.11 0.44 0.23 0.64 0.39 0.43 0.76 0.17 0.43  ] 
[ 0.62 0.1 0.47 0.62 0.49 0.7 0.46 0.3 0.45 0.26  ] 
] 
[ [ 0.6 0.75 0.36 0.67 0.62 0.67 0.74 0.15 0.21 0.4  ] 
[ 0.36 0.44 0.62 0.37 0.52 0.31 0.5 0.29 0.73 0.25  ] 
[ 0.24 0.44 0.75 0.77 0.62 0.73 0.27 0.39 0.56 0.17  ] 
[ 0.16 0.12 0.63 0.49 0.37 0.41 0.61 0.67 0.37 0.14  ] 
[ 0.34 0.48 0.59 0.48 0.54 0.42 0.68 0.52 0.74 0.27  ] 
[ 0.72 0.18 0.65 0.68 0.15 0.52 0.56 0.76 0.25 0.77  ] 
] 
[ [ 0.72 0.66 0.71 0.38 0.35 0.38 0.39 0.64 0.18 0.28  ] 
[ 0.79 0.52 0.17 0.17 0.62 0.56 0.28 0.1 0.26 0.44  ] 
[ 0.78 0.26 0.23 0.2 0.28 0.21 0.38 0.11 0.76 0.31  ] 
[ 0.54 0.48 0.66 0.4 0.61 0.5 0.63 0.33 0.16 0.63  ] 
[ 0.18 0.49 0.77 0.23 0.51 0.18 0.1 0.44 0.75 0.24  ] 
[ 0.63 0.52 0.76 0.25 0.21 0.35 0.34 0.38 0.14 0.65  ] 
] 
[ [ 0.51 0.51 0.69 0.39 0.35 0.72 0.37 0.66 0.6 0.47  ] 
[ 0.44 0.11 0.46 0.36 0.7 0.24 0.26 0.7 0.14 0.46  ] 
[ 0.72 0.37 0.15 0.28 0.51 0.62 0.61 0.48 0.72 0.16  ] 
[ 0.34 0.15 0.64 0.53 0.3 0.43 0.43 0.23 0.38 0.56  ] 
[ 0.39 0.31 0.77 0.16 0.14 0.47 0.47 0.25 0.23 0.53  ] 
[ 0.73 0.18 0.45 0.18 0.16 0.3 0.6 0.78 0.27 0.38  ] 
] 
 ] ; 

TCCost= [ 
 [ 0.0 0.01 0.01 0.03 0.02 0.01 0.02 0.03 0.01 0.01  ] 
 [ 0.01 0.0 0.01 0.03 0.03 0.01 0.01 0.02 0.02 0.03  ] 
 [ 0.01 0.02 0.0 0.01 0.02 0.03 0.01 0.02 0.01 0.03  ] 
 [ 0.02 0.01 0.03 0.0 0.01 0.02 0.02 0.01 0.03 0.01  ] 
 [ 0.01 0.01 0.02 0.02 0.0 0.01 0.02 0.01 0.02 0.03  ] 
 [ 0.01 0.02 0.02 0.03 0.01 0.0 0.02 0.01 0.03 0.03  ] 
 [ 0.01 0.03 0.03 0.03 0.02 0.03 0.0 0.02 0.03 0.02  ] 
 [ 0.01 0.03 0.03 0.02 0.02 0.03 0.02 0.0 0.02 0.02  ] 
 [ 0.01 0.02 0.01 0.01 0.01 0.03 0.02 0.01 0.0 0.01  ] 
 [ 0.01 0.01 0.03 0.03 0.02 0.01 0.02 0.03 0.01 0.0  ] 
 ] ; 
CCCost= [ 
[ [ 0.0 ] ] 
[ [ 0.0 0.04 0.02 0.03 0.03 ] [ 0.03 0.0 0.02 0.01 0.01 ] [ 0.02 0.01 0.0 0.02 0.03 ] [ 0.01 0.04 0.02 0.0 0.02 ] [ 0.04 0.04 0.04 0.04 0.0 ] ] 
[ [ 0.0 0.04 0.01 0.02 0.01 ] [ 0.02 0.0 0.03 0.03 0.01 ] [ 0.04 0.04 0.0 0.04 0.03 ] [ 0.03 0.01 0.04 0.0 0.01 ] [ 0.02 0.02 0.03 0.02 0.0 ] ] 
[ [ 0.0 0.02 ] [ 0.04 0.0 ] ] 
[ [ 0.0 0.03 ] [ 0.01 0.0 ] ] 
[ [ 0.0 0.02 0.02 ] [ 0.04 0.0 0.03 ] [ 0.01 0.04 0.0 ] ] 
[ [ 0.0 0.04 0.04 ] [ 0.03 0.0 0.04 ] [ 0.04 0.04 0.0 ] ] 
[ [ 0.0 ] ] 
[ [ 0.0 0.04 0.02 0.01 ] [ 0.02 0.0 0.03 0.03 ] [ 0.04 0.04 0.0 0.01 ] [ 0.02 0.02 0.01 0.0 ] ] 
[ [ 0.0 ] ] 
 ] ; 
MCCost= [ 
[ 0.0 9.0 9.0 9.0 9.0 7.0 6.0 9.0 6.0 7.0 ] 
[ 9.0 0.0 8.0 9.0 8.0 5.0 8.0 9.0 9.0 8.0 ] 
[ 6.0 7.0 0.0 6.0 8.0 5.0 6.0 9.0 5.0 7.0 ] 
[ 8.0 7.0 6.0 0.0 5.0 9.0 8.0 7.0 8.0 8.0 ] 
[ 7.0 5.0 9.0 9.0 0.0 7.0 5.0 8.0 9.0 8.0 ] 
[ 7.0 8.0 8.0 8.0 9.0 0.0 9.0 8.0 9.0 6.0 ] 
[ 8.0 7.0 8.0 8.0 5.0 5.0 0.0 5.0 7.0 8.0 ] 
